Event_id,Player_id,Olympix_id,Date_Given,Sports_id,gold_medal,silver_medal,brone_medal,total_medal
1,1,5,8/24/2008,1,8,0,0,8
2,1,3,8/29/2004,1,6,0,2,8
3,1,7,8/12/2012,1,4,2,0,6
4,2,5,8/24/2008,1,1,2,3,6
5,3,1,10/1/2000,2,2,1,3,6
6,4,7,8/12/2012,1,1,3,1,5
7,5,7,8/12/2012,1,4,0,1,5
8,6,7,8/12/2012,1,2,2,1,5
9,7,7,8/12/2012,1,3,1,1,5
10,2,3,8/29/2004,1,2,2,1,5
11,8,1,10/1/2000,1,3,2,0,5
12,9,1,10/1/2000,1,2,0,3,5
13,10,4,2/26/2006,3,1,2,2,5
14,11,5,8/24/2008,2,1,3,1,5
15,12,6,2/28/2010,4,3,1,1,5
16,13,7,8/12/2012,1,2,1,1,4
17,14,5,8/24/2008,1,1,3,0,4
18,15,5,8/24/2008,1,2,1,1,4
19,6,5,8/24/2008,1,2,0,2,4
20,17,3,8/29/2004,1,1,1,2,4
21,18,3,8/29/2004,1,3,1,0,4
22,8,3,8/29/2004,1,2,1,1,4
23,17,1,10/1/2000,1,3,1,0,4
24,20,1,10/1/2000,1,2,1,1,4
25,21,1,10/1/2000,1,2,2,0,4
26,22,1,10/1/2000,1,1,3,0,4
27,23,1,10/1/2000,1,3,0,1,4
28,24,1,10/1/2000,1,2,0,2,4
29,25,4,2/26/2006,5,3,0,1,4
30,26,7,8/12/2012,2,1,1,2,4
31,27,5,8/24/2008,2,1,3,0,4
32,28,1,10/1/2000,6,1,1,2,4
33,29,1,10/1/2000,7,3,1,0,4
34,30,6,2/28/2010,4,2,1,1,4
35,31,2,2/24/2002,8,4,0,0,4
36,32,2,2/24/2002,9,3,1,0,4
37,33,7,8/12/2012,1,2,1,0,3
38,34,7,8/12/2012,1,2,1,0,3
39,35,7,8/12/2012,1,1,2,0,3
40,36,7,8/12/2012,1,2,1,0,3
41,37,7,8/12/2012,1,0,2,1,3
42,38,7,8/12/2012,1,1,2,0,3
43,39,7,8/12/2012,1,2,1,0,3
44,40,7,8/12/2012,1,1,1,1,3
45,41,7,8/12/2012,1,1,2,0,3
46,42,7,8/12/2012,1,1,2,0,3
47,43,7,8/12/2012,1,2,1,0,3
48,44,7,8/12/2012,1,0,1,2,3
49,45,7,8/12/2012,1,3,0,0,3
50,46,5,8/24/2008,1,1,1,1,3
51,47,5,8/24/2008,1,0,3,0,3
52,36,5,8/24/2008,1,2,1,0,3
53,48,5,8/24/2008,1,0,2,1,3
54,49,5,8/24/2008,1,0,1,2,3
55,50,5,8/24/2008,1,2,1,0,3
56,51,5,8/24/2008,1,2,0,1,3
57,52,5,8/24/2008,1,0,1,2,3
58,53,5,8/24/2008,1,2,0,1,3
59,54,5,8/24/2008,1,0,1,2,3
60,55,5,8/24/2008,1,2,1,0,3
61,56,5,8/24/2008,1,3,0,0,3
62,57,5,8/24/2008,1,1,0,2,3
63,43,5,8/24/2008,1,1,2,0,3
64,58,5,8/24/2008,1,0,2,1,3
65,9,5,8/24/2008,1,0,3,0,3
66,59,3,8/29/2004,1,1,2,0,3
67,60,3,8/29/2004,1,0,0,3,3
68,14,3,8/29/2004,1,1,1,1,3
69,61,3,8/29/2004,1,1,1,1,3
70,62,3,8/29/2004,1,1,2,0,3
71,63,3,8/29/2004,1,1,1,1,3
72,64,3,8/29/2004,1,3,0,0,3
73,65,3,8/29/2004,1,1,2,0,3
74,50,3,8/29/2004,1,1,1,1,3
75,51,3,8/29/2004,1,2,0,1,3
76,66,3,8/29/2004,1,1,1,1,3
77,55,3,8/29/2004,1,3,0,0,3
78,67,3,8/29/2004,1,1,1,1,3
79,68,3,8/29/2004,1,1,1,1,3
80,24,3,8/29/2004,1,1,2,0,3
81,69,1,10/1/2000,1,0,2,1,3
82,70,1,10/1/2000,1,2,1,0,3
83,71,1,10/1/2000,1,3,0,0,3
84,72,1,10/1/2000,1,1,1,1,3
85,18,1,10/1/2000,1,0,2,1,3
86,74,1,10/1/2000,1,0,2,1,3
87,75,6,2/28/2010,5,2,1,0,3
88,76,6,2/28/2010,5,0,1,2,3
89,77,6,2/28/2010,5,3,0,0,3
90,78,4,2/26/2006,5,3,0,0,3
91,79,4,2/26/2006,5,1,2,0,3
92,76,4,2/26/2006,5,1,0,2,3
93,77,4,2/26/2006,5,1,1,1,3
94,80,2,2/24/2002,5,2,0,1,3
95,81,2,2/24/2002,5,2,1,0,3
96,82,6,2/28/2010,3,1,2,0,3
97,83,6,2/28/2010,3,2,0,1,3
98,84,4,2/26/2006,3,2,0,1,3
99,85,4,2/26/2006,3,1,1,1,3
100,86,2,2/24/2002,3,2,1,0,3
101,87,2,2/24/2002,3,0,2,1,3
102,88,6,2/28/2010,10,1,0,2,3
103,89,4,2/26/2006,10,1,0,2,3
104,90,6,2/28/2010,11,0,3,0,3
105,91,4,2/26/2006,11,2,1,0,3
106,92,4,2/26/2006,11,1,1,1,3
107,91,2,2/24/2002,11,0,0,3,3
108,93,2,2/24/2002,11,3,0,0,3
109,94,7,8/12/2012,2,2,0,1,3
110,95,7,8/12/2012,2,1,2,0,3
111,96,7,8/12/2012,2,2,0,1,3
112,97,5,8/24/2008,2,1,0,2,3
113,98,5,8/24/2008,2,2,1,0,3
114,99,5,8/24/2008,2,1,0,2,3
115,96,5,8/24/2008,2,3,0,0,3
116,100,3,8/29/2004,2,0,1,2,3
117,101,3,8/29/2004,2,1,2,0,3
118,102,3,8/29/2004,2,1,2,0,3
119,103,3,8/29/2004,2,3,0,0,3
120,104,1,10/1/2000,2,2,0,1,3
121,105,1,10/1/2000,2,1,2,0,3
122,106,1,10/1/2000,2,0,2,1,3
123,107,1,10/1/2000,2,2,1,0,3
124,108,7,8/12/2012,7,0,2,1,3
125,109,5,8/24/2008,7,3,0,0,3
126,110,3,8/29/2004,7,1,1,1,3
127,111,1,10/1/2000,7,2,1,0,3
128,112,6,2/28/2010,4,1,1,1,3
129,113,6,2/28/2010,4,1,0,2,3
130,114,2,2/24/2002,4,1,1,1,3
131,115,2,2/24/2002,4,1,1,1,3
132,116,2,2/24/2002,4,2,1,0,3
133,117,2,2/24/2002,4,1,1,1,3
134,118,6,2/28/2010,8,2,1,0,3
135,119,6,2/28/2010,8,2,1,0,3
136,120,4,2/26/2006,8,1,0,2,3
137,31,4,2/26/2006,8,0,2,1,3
138,121,4,2/26/2006,8,2,0,1,3
139,122,4,2/26/2006,8,0,3,0,3
140,123,4,2/26/2006,8,3,0,0,3
141,124,4,2/26/2006,8,1,2,0,3
142,124,2,2/24/2002,8,2,1,0,3
143,125,7,8/12/2012,12,1,2,0,3
144,126,7,8/12/2012,12,3,0,0,3
145,127,7,8/12/2012,12,3,0,0,3
146,128,7,8/12/2012,12,1,2,0,3
147,129,7,8/12/2012,12,1,1,1,3
148,126,5,8/24/2008,12,3,0,0,3
149,130,3,8/29/2004,12,2,0,1,3
150,131,3,8/29/2004,12,1,1,1,3
151,132,6,2/28/2010,9,1,1,1,3
152,133,6,2/28/2010,9,1,1,1,3
153,134,4,2/26/2006,9,1,0,2,3
154,135,2,2/24/2002,9,1,1,1,3
155,136,7,8/12/2012,13,1,1,0,2
156,137,7,8/12/2012,13,0,0,2,2
157,138,7,8/12/2012,13,2,0,0,2
158,139,7,8/12/2012,13,0,0,2,2
159,140,7,8/12/2012,13,1,1,0,2
160,141,7,8/12/2012,13,2,0,0,2
161,142,5,8/24/2008,13,1,0,1,2
162,143,5,8/24/2008,13,2,0,0,2
163,140,5,8/24/2008,13,1,1,0,2
164,144,5,8/24/2008,13,1,0,1,2
165,145,5,8/24/2008,13,1,1,0,2
166,146,5,8/24/2008,13,2,0,0,2
167,146,3,8/29/2004,13,2,0,0,2
168,147,1,10/1/2000,13,1,1,0,2
169,148,1,10/1/2000,13,1,1,0,2
170,149,1,10/1/2000,13,0,1,1,2
171,145,1,10/1/2000,13,2,0,0,2
172,150,7,8/12/2012,14,1,0,1,2
173,151,7,8/12/2012,14,1,0,1,2
174,152,7,8/12/2012,14,1,1,0,2
175,153,7,8/12/2012,14,2,0,0,2
176,154,3,8/29/2004,14,1,0,1,2
177,155,3,8/29/2004,14,2,0,0,2
178,156,1,10/1/2000,14,2,0,0,2
179,157,7,8/12/2012,15,0,1,1,2
180,158,7,8/12/2012,15,0,1,1,2
181,159,7,8/12/2012,15,0,1,1,2
182,160,7,8/12/2012,15,2,0,0,2
183,161,7,8/12/2012,15,0,1,1,2
184,162,7,8/12/2012,15,2,0,0,2
185,163,5,8/24/2008,15,2,0,0,2
186,158,5,8/24/2008,15,0,2,0,2
187,164,5,8/24/2008,15,0,2,0,2
188,165,5,8/24/2008,15,2,0,0,2
189,166,3,8/29/2004,15,0,0,2,2
190,163,3,8/29/2004,15,2,0,0,2
191,167,3,8/29/2004,15,0,0,2,2
192,168,3,8/29/2004,15,0,2,0,2
193,169,3,8/29/2004,15,0,2,0,2
194,165,3,8/29/2004,15,2,0,0,2
195,170,1,10/1/2000,15,2,0,0,2
196,171,1,10/1/2000,15,2,0,0,2
197,168,1,10/1/2000,15,0,2,0,2
198,169,1,10/1/2000,15,0,2,0,2
199,173,7,8/12/2012,1,0,0,2,2
200,174,7,8/12/2012,1,0,1,1,2
201,175,7,8/12/2012,1,0,1,1,2
202,176,7,8/12/2012,1,0,2,0,2
203,177,7,8/12/2012,1,1,1,0,2
204,178,7,8/12/2012,1,0,2,0,2
205,63,7,8/12/2012,1,1,0,1,2
206,179,7,8/12/2012,1,1,0,1,2
207,180,7,8/12/2012,1,1,1,0,2
208,181,7,8/12/2012,1,1,1,0,2
209,182,7,8/12/2012,1,1,1,0,2
210,183,7,8/12/2012,1,0,1,1,2
211,184,7,8/12/2012,1,0,1,1,2
212,185,7,8/12/2012,1,1,0,1,2
213,186,7,8/12/2012,1,0,2,0,2
214,187,7,8/12/2012,1,0,1,1,2
215,188,7,8/12/2012,1,1,1,0,2
216,189,7,8/12/2012,1,0,0,2,2
217,190,7,8/12/2012,1,1,1,0,2
218,191,7,8/12/2012,1,0,1,1,2
219,192,7,8/12/2012,1,2,0,0,2
220,173,5,8/24/2008,1,2,0,0,2
221,193,5,8/24/2008,1,0,0,2,2
222,194,5,8/24/2008,1,0,0,2,2
223,195,5,8/24/2008,1,1,0,1,2
