Player_id,name,country,Birth_year
1,Michael Phelps,United States,1985
2,Natalie Coughlin,United States,1983
3,Aleksey Nemov,Russia,1976
4,Alicia Coutts,Australia,1988
5,Missy Franklin,United States,1995
6,Ryan Lochte,United States,1985
7,Allison Schmitt,United States,1990
8,Ian Thorpe,Australia,1983
9,Dara Torres,United States,1967
10,Cindy Klassen,Canada,1980
11,Nastia Liukin,United States,1990
12,Marit Bjørgen,Norway,1981
13,Sun Yang,China,1992
14,Kirsty Coventry,Zimbabwe,1984
15,Libby Lenton-Trickett,Australia,1985
16,Ryan Lochte,United States,1984
17,Inge de Bruijn,Netherlands,1974
18,Petria Thomas,Australia,1976
19,Inge de Bruijn,Netherlands,1973
20,Gary Hall Jr.,United States,1975
21,Michael Klim,Australia,1977
22,Susie O'Neill,Australia,1973
23,Jenny Thompson,United States,1973
24,Pieter van den Hoogenband,Netherlands,1978
25,An Hyeon-Su,South Korea,1986
26,Aliya Mustafina,Russia,1995
27,Shawn Johnson,United States,1992
28,Dmitry Sautin,Russia,1974
29,Leontien Zijlaard-van Moorsel,Netherlands,1970
30,Petter Northug Jr.,Norway,1986
31,Ole Einar Bjørndalen,Norway,1974
32,Janica Kostelic,Croatia,1982
33,Nathan Adrian,United States,1989
34,Yannick Agnel,France,1992
35,Brittany Elmslie,Australia,1994
36,Matt Grevers,United States,1985
37,Ryosuke Irie,Japan,1990
38,Cullen Jones,United States,1984
39,Ranomi Kromowidjojo,Netherlands,1991
40,Camille Muffat,France,1990
41,Mel Schlanger,Australia,1987
42,Emily Seebohm,Australia,1992
43,Rebecca Soni,United States,1987
44,Satomi Suzuki,Japan,1991
45,Dana Vollmer,United States,1988
46,Alain Bernard,France,1983
47,László Cseh Jr.,Hungary,1986
48,Margaret Hoelzer,United States,1983
49,Katie Hoff,United States,1989
50,Leisel Jones,Australia,1986
51,Kosuke Kitajima,Japan,1983
52,Andrew Lauterstein,Australia,1987
53,Jason Lezak,United States,1976
54,Pang Jiaying,China,1985
55,Aaron Peirsol,United States,1983
56,Steph Rice,Australia,1988
57,Jess Schipper,Australia,1987
58,Eamon Sullivan,Australia,1986
59,Amanda Beard,United States,1982
60,Antje Buschschulte,Germany,1979
61,Ian Crocker,United States,1983
62,Grant Hackett,Australia,1980
63,Brendan Hansen,United States,1982
64,Jodie Henry,Australia,1984
65,Otylia Jedrzejczak,Poland,1984
66,Laure Manaudou,France,1987
67,Kaitlin Sandeno,United States,1983
68,Roland Schoeman,South Africa,1980
69,Therese Alshammar,Sweden,1977
70,Yana Klochkova,Ukraine,1982
71,Lenny Krayzelburg,United States,1976
72,Massimiliano Rosolino,Italy,1978
73,Petria Thomas,Australia,1975
74,Matt Welsh,Australia,1977
75,Lee Jeong-Su,South Korea,1990
76,Apolo Anton Ohno,United States,1983
77,Wang Meng,China,1986
78,Jin Seon-Yu,South Korea,1989
79,Lee Ho-Seok,South Korea,1987
80,Marc Gagnon,Canada,1976
81,Yang Yang (A),China,1977
82,Stephanie Beckert,Germany,1989
83,Martina Sáblíková,Czech Republic,1988
84,Enrico Fabris,Italy,1982
85,Chad Hedrick,United States,1978
86,Jochem Uytdehaage,Netherlands,1977
87,Sabine Völker,Germany,1974
88,Gregor Schlierenzauer,Austria,1990
89,Lars Bystøl,Norway,1979
90,Johnny Spillane,United States,1981
91,Felix Gottwald,Austria,1976
92,Georg Hettich,Germany,1979
93,Samppa Lajunen,Finland,1980
94,Aly Raisman,United States,1994
95,Kohei Uchimura,Japan,1989
96,Zou Kai,China,1988
97,Cheng Fei,China,1988
98,Yang Wei,China,1980
99,Yang Yilin,China,1993
100,Marian Dragulescu,Romania,1981
101,Paul Hamm,United States,1983
102,Carly Patterson,United States,1988
103,Catalina Ponor,Romania,1988
104,Simona Amânar,Romania,1980
105,Svetlana Khorkina,Russia,1979
106,Yekaterina Lobaznyuk,Russia,1983
107,Yelena Zamolodchikova,Russia,1983
108,Guo Shuang,China,1986
109,Chris Hoy,Great Britain,1976
110,Bradley Wiggins,Great Britain,1980
111,Florian Rousseau,France,1974
112,Justyna Kowalczyk,Poland,1983
113,Johan Olsson,Sweden,1981
114,Stefania Belmondo,Italy,1969
115,Yuliya Chepalova,Russia,1977
116,Frode Estil,Norway,1973
117,Bente Skari-Martinsen,Norway,1973
118,Magdalena Neuner,Germany,1987
119,Emil Hegle Svendsen,Norway,1986
120,Albina Akhatova,Russia,1977
121,Sven Fischer,Germany,1972
122,Martina Glagow-Beck,Germany,1980
123,Michael Greis,Germany,1977
124,Kati Wilhelm,Germany,1977
125,Yohan Blake,Jamaica,1990
126,Usain Bolt,Jamaica,1987
127,Allyson Felix,United States,1986
128,Shelly-Ann Fraser-Pryce,Jamaica,1987
129,Carmelita Jeter,United States,1980
130,Veronica Campbell-Brown,Jamaica,1982
131,Justin Gatlin,United States,1982
132,Bode Miller,United States,1978
133,Aksel Lund Svindal,Norway,1983
134,Anja Pärson,Sweden,1982
135,Stephan Eberharter,Austria,1970
136,Ding Ning,China,1990
137,Feng Tian Wei,Singapore,1987
138,Li Xiaoxia,China,1988
139,Dmitrij Ovtcharov,Germany,1989
140,Wang Hao,China,1984
141,Zhang Jike,China,1988
142,Guo Yue,China,1988
143,Ma Lin,China,1980
144,Wang Liqin,China,1978
145,Wang Nan,China,1979
146,Zhang Yining,China,1982
147,Kong Linghui,China,1976
148,Li Ju,China,1976
149,Liu Guoliang,China,1976
150,Viktoriya Azarenko,Belarus,1990
